"Home.Team.Name","Result","Away.Team.Name","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase"
"Prerov","24 : 38","Plzen","20.2.2011","12 : 16","324","4 : 3","Marek Becicka, Jirí Horák","Alois Jurík","Michal Kavka","Vladimír Haber","Stanislav Raizl","RegularPhaseMatch"
"Hranice","33 : 31","Dukla","20.2.2011","14 : 15","350","1 : 1","Milan Hájek, Karel Macho","Jan Hegar","Bretislav Žoch","Pavel Pauza","Jan Krouský","RegularPhaseMatch"
"Frýdek-Místek","27 : 34","Zubrí","20.2.2011","11 : 20","520","2 : 0","Jirí Opava, Pavel Válek","Jirí Kekrt","Petr Mazur","Jirí Mika","Michal Balhárek","RegularPhaseMatch"
"Plzen","41 : 19","Trebon","11.2.2011","18 : 10","400","0 : 3","Dalibor Pavlát, Petr Pešek","Vladimír Haber","Stanislav Raizl","Jan Pavlovský","Karel Petržala","RegularPhaseMatch"
"Dukla","28 : 29","Frýdek-Místek","12.2.2011","16 : 16","140","3 : 3","Václav Kohout, Petr Novák","Pavel Pauza","Milan Kotrc","Jirí Kekrt","Petr Mazur","RegularPhaseMatch"
"Lovosice","36 : 27","Prerov","12.2.2011","14 : 16","658","2 : 2","Petr Halada, Martin Zych","Vojtech Srba","Pavel Haken","Alois Jurík","Richard Bucek","RegularPhaseMatch"
"Zubrí","27 : 18","Jicín","12.2.2011","14 : 11","800","6 : 0","Michal Hanák, Jan Kosmák","Jirí Mika","Michal Balhárek","Aleš Babák","Vladimír Bohácek","RegularPhaseMatch"
"Hranice","36 : 24","Brno","13.2.2011","21 : 9","300","2 : 3","Marek Becicka, Jirí Horák","Jan Hegar","Bretislav Žoch","Zdenek Missbach","Zdenek Zima","RegularPhaseMatch"
"Karviná","29 : 17","Koprivnice","11.3.2011","14 : 8","600","2 : 2","Adam Kondelka, David Kondelka","Jozef Hanták","Martin Kostelník","Miroslav Barton","Ivo Vávra","RegularPhaseMatch"
"Jicín","18 : 24","Dukla","5.2.2011","9 : 11","700","3 : 4","Lubomír Kohout, Vladimír Vaník","Aleš Babák","Vladimír Bohácek","Pavel Pauza","Jan Krouský","RegularPhaseMatch"
"Koprivnice","25 : 28","Zubrí","5.2.2011","11 : 17","300","4 : 3","Pavel Novotný, Jirí Vetrovský","Libor Hrabal","Ivo Vávra","Jirí Mika","Michal Balhárek","RegularPhaseMatch"
"Lovosice","37 : 25","Karviná","6.2.2011","18 : 9","900","0 : 1","Radoslav Kavulic, Libor Skružný","Vojtech Srba","Pavel Haken","Jozef Hanták","Zdenek Mrózek","RegularPhaseMatch"
"Hranice","28 : 24","Plzen","6.2.2011","14 : 11","350","2 : 0","Adam Kondelka, David Kondelka","Jan Hegar","Bretislav Žoch","Vladimír Haber","Stanislav Raizl","RegularPhaseMatch"
"Frýdek-Místek","38 : 22","Brno","6.2.2011","19 : 11","490","1 : 4","Pavel Nesvadba, Vangelis Simu","Jirí Kekrt","Petr Mazur","Zdenek Missbach","Zdenek Zima","RegularPhaseMatch"
"Prerov","34 : 30","Trebon","6.2.2011","20 : 12","261","0 : 3","Václav Horácek, Jirí Novotný","Alois Jurík","Michal Kavka","Jan Pavlovský","Vladislav Jordák","RegularPhaseMatch"
"Dukla","34 : 24","Koprivnice","11.12.2010","18 : 12","120","1 : 4","Dalibor Pavlát, Petr Pešek","Pavel Pauza","Milan Kotrc","Libor Hrabal","Jirí Gres","RegularPhaseMatch"
"Brno","24 : 24","Jicín","11.12.2010","15 : 11","178","6 : 6","Radoslav Kavulic, Libor Skružný","Zdenek Missbach","Zdenek Zima","Aleš Babák","Vladimír Bohácek","RegularPhaseMatch"
"Zubrí","33 : 24","Lovosice","11.12.2010","18 : 13","800","4 : 3","Václav Horácek, Jirí Novotný","Jirí Mika","Michal Balhárek","Vojtech Srba","Pavel Haken","RegularPhaseMatch"
"Karviná","40 : 25","Prerov","12.12.2010","20 : 19","430","3 : 5","Pavel Novotný, Jirí Vetrovský","Jozef Hanták","Martin Kostelník","Miroslav Frank","Richard Bucek","RegularPhaseMatch"
"Hranice","34 : 23","Trebon","12.12.2010","16 : 13","300","3 : 1","Václav Horácek, Jirí Novotný","Jan Hegar","Bretislav Žoch","Jan Pavlovský","Zdenek Kubík","RegularPhaseMatch"
"Plzen","39 : 27","Frýdek-Místek","29.1.2011","19 : 14","550","3 : 0","Radoslav Kavulic, Libor Skružný","Vladimír Haber","Stanislav Raizl","Jirí Kekrt","Petr Mazur","RegularPhaseMatch"
"Jicín","22 : 20","Plzen","3.12.2010","11 : 13","600","1 : 1","Pavel Nesvadba, Vangelis Simu","Aleš Babák","Vladimír Bohácek","Vladimír Haber","Stanislav Raizl","RegularPhaseMatch"
"Lovosice","31 : 28","Dukla","4.12.2010","15 : 14","1010","5 : 2","Radoslav Kavulic, Libor Skružný","Vojtech Srba","Pavel Haken","Pavel Pauza","Daniel Curda","RegularPhaseMatch"
"Koprivnice","26 : 25","Brno","4.12.2010","14 : 13","200","1 : 4","Lubomír Kohout, Vladimír Vaník","Libor Hrabal","Ivo Vávra","Zdenek Missbach","Zdenek Zima","RegularPhaseMatch"
"Karviná","29 : 24","Zubrí","5.12.2010","10 : 10","879","4 : 2","Milan Hájek, Karel Macho","Jozef Hanták","Martin Kostelník","Jirí Mika","Michal Balhárek","RegularPhaseMatch"
"Hranice","31 : 24","Prerov","5.12.2010","16 : 12","320","1 : 3","Petr Halada, Martin Zych","Jan Hegar","Bretislav Žoch","Miroslav Frank","Michal Kavka","RegularPhaseMatch"
"Frýdek-Místek","37 : 24","Trebon","5.12.2010","16 : 11","315","3 : 0","Adam Kondelka, David Kondelka","Jirí Kekrt","Petr Mazur","Jan Pavlovský","Zdenek Kubík","RegularPhaseMatch"
"Dukla","32 : 28","Karviná","24.11.2010","18 : 13","280","2 : 2","Jirí Opava, Pavel Válek","Pavel Pauza","Milan Kotrc","Jozef Hanták","Roman Farár","RegularPhaseMatch"
"Plzen","32 : 25","Koprivnice","24.11.2010","17 : 9","610","2 : 7","Petr Halada, Martin Zych","Vladimír Haber","Stanislav Raizl","Libor Hrabal","Ivo Vávra","RegularPhaseMatch"
"Brno","23 : 38","Lovosice","27.11.2010","11 : 15","320","1 : 3","Lubomír Kohout, Vladimír Vaník","Zdenek Missbach","Zdenek Zima","Vojtech Srba","Pavel Haken","RegularPhaseMatch"
"Zubrí","33 : 20","Prerov","27.11.2010","19 : 12","700","1 : 1","Marek Becicka, Jirí Horák","Jirí Mika","Michal Balhárek","Miroslav Frank","Michal Kavka","RegularPhaseMatch"
"Hranice","31 : 26","Frýdek-Místek","28.11.2010","18 : 9","300","0 : 0","Pavel Novotný, Jirí Vetrovský","Jan Hegar","Bretislav Žoch","Jirí Kekrt","Petr Mazur","RegularPhaseMatch"
"Trebon","21 : 31","Jicín","28.11.2010","10 : 19","250","2 : 3","Bedrich Frieser, Lukáš Frieser","Jan Pavlovský","Zdenek Kubík","Aleš Babák","Vladimír Bohácek","RegularPhaseMatch"
"Karviná","38 : 30","Brno","28.10.2010","22 : 18","683","1 : 3","Michal Hanák, Jan Kosmák","Jozef Hanták","Martin Kostelník","Zdenek Missbach","Josef Cikán","RegularPhaseMatch"
"Lovosice","33 : 22","Plzen","20.11.2010","16 : 9","753","2 : 2","Pavel Nesvadba, Vangelis Simu","Vojtech Srba","Pavel Haken","Vladimír Haber","Stanislav Raizl","RegularPhaseMatch"
"Koprivnice","29 : 31","Trebon","20.11.2010","14 : 17","300","2 : 3","Marek Becicka, Jirí Horák","Libor Hrabal","Ivo Vávra","Jan Pavlovský","Zdenek Kubík","RegularPhaseMatch"
"Zubrí","24 : 26","Dukla","21.11.2010","14 : 12","980","4 : 1","Václav Kohout, Petr Novák","Jirí Mika","Michal Balhárek","Pavel Pauza","Jan Krouský","RegularPhaseMatch"
"Hranice","32 : 17","Jicín","21.11.2010","17 : 10","350","3 : 3","Lubomír Kohout, Vladimír Vaník","Jan Hegar","Bretislav Žoch","Aleš Babák","Vladimír Bohácek","RegularPhaseMatch"
"Prerov","32 : 29","Frýdek-Místek","21.11.2010","19 : 16","251","1 : 2","Michal Hanák, Jan Kosmák","Miroslav Frank","Michal Kavka","Jirí Kekrt","Petr Mazur","RegularPhaseMatch"
"Dukla","44 : 26","Prerov","13.11.2010","22 : 12","210","4 : 3","Milan Hájek, Karel Macho","Pavel Pauza","Jan Krouský","Miroslav Frank","Michal Kavka","RegularPhaseMatch"
"Karviná","25 : 24","Plzen","13.11.2010","10 : 10","892","4 : 0","Václav Kohout, Petr Novák","Jozef Hanták","Martin Kostelník","Vladimír Haber","Stanislav Raizl","RegularPhaseMatch"
"Lovosice","40 : 24","Trebon","13.11.2010","21 : 8","500","2 : 3","Jirí Opava, Pavel Válek","Vojtech Srba","Pavel Haken","Jan Pavlovský","Zdenek Kubík","RegularPhaseMatch"
"Jicín","32 : 19","Frýdek-Místek","13.11.2010","17 : 8","500","3 : 2","Václav Horácek, Jirí Novotný","Aleš Babák","Vladimír Bohácek","Jirí Kekrt","Petr Mazur","RegularPhaseMatch"
"Zubrí","38 : 28","Brno","13.11.2010","22 : 18","850","5 : 7","Pavel Nesvadba, Vangelis Simu","Jirí Mika","Michal Balhárek","Zdenek Missbach","Zdenek Zima","RegularPhaseMatch"
