"Global.Match.ID","Local.Match.ID","Home.Team.Init","Away.Team.Init","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Date","Season","Season.Phase","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals","HT.Break.Goals","HT.Goalkeepers.Perc","HT.Goalkeepers.Saves","HT.Shots.Acc.Perc","HT.7m.Shots.Acc","AT.Break.Goals","AT.Goalkeepers.Perc","AT.Goalkeepers.Saves","AT.Shots.Acc.Perc","AT.7m.Shots.Acc","Day.Name","Day.Status","Public.Holiday","CT.Broadcast"
47,47,"KAR","NOV","HCB Karviná","TJ Sokol Nové Veselí",27,23,2018-09-30,"2018/2019","RegularPhaseMatch",807,"Jirí Králícek, Milan Letev","Marek Michalisko","Jirí Tabara","Pavel Hladík","Stanislav Krcál",12,10,6,4,,,,,,,,,,,"Sun","Weekend",0,0
48,48,"DUK","FRM","HC Dukla Praha","Pepino SKP Frýdek-Místek",22,29,2018-09-30,"2018/2019","RegularPhaseMatch",150,"Milan Hájek, Karel Macho","Daniel Curda","Jirí Kotrc","Lubomír Kavka","Petr Mazur",10,16,0,2,,,,,,,,,,,"Sun","Weekend",0,0
49,49,"JIC","DUK","HBC Ronal Jicín","HC Dukla Praha",22,23,2018-09-19,"2018/2019","RegularPhaseMatch",593,"Václav Horácek, Jirí Novotný","Aleš Babák","Petr Kyncl","Daniel Curda","Jirí Kotrc",9,12,3,3,,,,,,,,,,,"Wed","WorkingDay",0,1
50,50,"HRA","LOV","TJ Cement Hranice","HK FCC Mesto Lovosice",28,24,2018-09-22,"2018/2019","RegularPhaseMatch",221,"Tomáš Bubenícek, Tomáš Petruška","Libor Hrabal","Martin Potiška","Roman Jelínek","Pavel Haken",14,11,1,2,,,,,,,,,,,"Sat","Weekend",0,0
51,51,"LIT","KAR","TJ Tatran Litovel","HCB Karviná",20,32,2018-09-22,"2018/2019","RegularPhaseMatch",284,"Lukáš Frieser, Radoslav Kavulic","Ivo Vávra","Jirí Macek","Marek Michalisko","Jirí Tabara",10,16,8,1,,,,,,,,,,,"Sat","Weekend",0,0
52,52,"NOV","BRN","TJ Sokol Nové Veselí","SKKP Handball Brno",28,25,2018-09-22,"2018/2019","RegularPhaseMatch",300,"Premysl Fukala, Radek Mohyla","Pavel Hladík","Stanislav Krcál","Andrej Titkov","Vít Kucera",13,12,4,2,,,,,,,,,,,"Sat","Weekend",0,0
53,53,"KOP","ZUB","KH Koprivnice","HC ROBE Zubrí",31,25,2018-09-22,"2018/2019","RegularPhaseMatch",450,"Jirí Králícek, Milan Letev","Lubomír Vermirovský","Igor Fulnek","Dušan Poloz","Zbynek Mizera",18,11,5,4,,,,,,,,,,,"Sat","Weekend",0,0
54,54,"FRM","PLZ","Pepino SKP Frýdek-Místek","Talent ROBSTAV-M.A.T.Plzen",25,36,2018-09-23,"2018/2019","RegularPhaseMatch",473,"Jirí Opava, Pavel Válek","Lubomír Kavka","Petr Mazur","Michal Tonar","Stanislav Raizl",16,19,3,3,,,,,,,,,,,"Sun","Weekend",0,0
55,55,"KAR","HRA","HCB Karviná","TJ Cement Hranice",26,24,2018-09-12,"2018/2019","RegularPhaseMatch",783,"Jirí Opava, Pavel Válek","Marek Michalisko","Jirí Tabara","Martin Marek","Lukáš Kubeša",14,11,3,2,,,,,,,,,,,"Wed","WorkingDay",0,1
56,56,"BRN","LIT","SKKP Handball Brno","TJ Tatran Litovel",22,20,2018-09-15,"2018/2019","RegularPhaseMatch",250,"Jirí Novotný, Václav Horácek","Andrej Titkov","Vít Kucera","Ivo Vávra","Jirí Macek",11,10,1,4,,,,,,,,,,,"Sat","Weekend",0,0
