"Global.Match.ID","Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Season.Phase","Season","CT.Broadcast","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals"
56,56,"SKKP Handball Brno","TJ Tatran Litovel",22,20,2018-09-15,250,"Jirí Novotný, Václav Horácek","Andrej Titkov","Vít Kucera","Ivo Vávra","Jirí Macek","RegularPhaseMatch","2018/2019",0,11,10,1,4
57,57,"HK FCC Mesto Lovosice","HBC Ronal Jicín",21,19,2018-09-15,460,"Milan Hájek, Karel Macho","Roman Jelínek","Pavel Haken","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2018/2019",0,10,10,6,0
58,58,"HC ROBE Zubrí","TJ Sokol Nové Veselí",25,27,2018-09-15,974,"Tomáš Bubenícek, Tomáš Petruška","Dušan Poloz","Zbynek Mizera","Pavel Hladík","Stanislav Krcál","RegularPhaseMatch","2018/2019",0,11,14,3,4
59,59,"HC Dukla Praha","Talent ROBSTAV-M.A.T.Plzen",24,24,2018-09-16,422,"Michal Hanák, Luboš Pavlícek","Daniel Curda","Jirí Kotrc","Michal Tonar","Stanislav Raizl","RegularPhaseMatch","2018/2019",0,10,11,2,3
60,60,"Pepino SKP Frýdek-Místek","KH Koprivnice",30,32,2018-09-16,456,"Tomáš Kozler, Martin Zych","Lubomír Kavka","Petr Mazur","Lubomír Vermirovský","Igor Fulnek","RegularPhaseMatch","2018/2019",0,13,15,1,1
61,61,"TJ Sokol Nové Veselí","Pepino SKP Frýdek-Místek",23,22,2018-09-07,300,"Lukáš Frieser, Radoslav Kavulic","Pavel Hladík","Stanislav Krcál","Lubomír Kavka","Petr Mazur","RegularPhaseMatch","2018/2019",0,11,10,1,0
62,62,"TJ Cement Hranice","SKKP Handball Brno",31,24,2018-09-08,156,"Premysl Fukala, Radek Mohyla","Libor Hrabal","Martin Potiška","Andrej Titkov","Vít Kucera","RegularPhaseMatch","2018/2019",0,20,12,3,3
63,63,"TJ Tatran Litovel","HC ROBE Zubrí",22,27,2018-09-08,348,"Michal Hanák, Luboš Pavlícek","Ivo Vávra","Jirí Macek","Dušan Poloz","Zbynek Mizera","RegularPhaseMatch","2018/2019",0,12,14,7,2
64,64,"HBC Ronal Jicín","HCB Karviná",27,26,2018-09-08,520,"Milan Hájek, Karel Macho","Aleš Babák","Petr Kyncl","Marek Michalisko","Jirí Tabara","RegularPhaseMatch","2018/2019",0,11,10,3,0
65,65,"KH Koprivnice","Talent ROBSTAV-M.A.T.Plzen",29,38,2018-09-08,300,"Adam Baader, Jirí Novotný","Lubomír Vermirovský","Igor Fulnek","Michal Tonar","Stanislav Raizl","RegularPhaseMatch","2018/2019",0,12,21,6,1
66,66,"HK FCC Mesto Lovosice","HC Dukla Praha",32,30,2018-09-08,0,"Dalibor Pavlát, Ludek Tocík","Roman Jelínek","Pavel Haken","Daniel Curda","Jirí Kotrc","RegularPhaseMatch","2018/2019",1,18,18,3,0
67,1,"HCB Karviná","M.A.T. Plzen",30,24,2018-05-12,1213,"Dalibor Pavlát, Ludek Tocík","Marek Michalisko","Jan Užek","Michal Tonar","Stanislav Raizl","FinalsMatch","2017/2018",0,18,11,4,0
68,2,"HCB Karviná","M.A.T. Plzen",32,31,2018-05-13,1270,"Mojmír Valášek, Jaroslav Vychodil","Marek Michalisko","Jan Užek","Michal Tonar","Stanislav Raizl","FinalsMatch","2017/2018",0,15,17,8,3
69,3,"M.A.T. Plzen","HCB Karviná",30,29,2018-05-19,920,"Václav Horácek, Jirí Novotný","Michal Tonar","Stanislav Raizl","Marek Michalisko","Jan Užek","FinalsMatch","2017/2018",0,14,15,1,2
70,4,"M.A.T. Plzen","HCB Karviná",29,30,2018-05-20,1200,"Pavel Blanar, Michael Haramul","Michal Tonar","Stanislav Raizl","Marek Michalisko","Jan Užek","FinalsMatch","2017/2018",0,13,15,0,4
71,5,"HC ROBE Zubrí","HK FCC Mesto Lovosice",24,25,2018-05-12,1183,"Marek Becicka, Jirí Horák","Andrej Titkov","Ivo Tovaryš","Roman Jelínek","Pavel Haken","3rdPlaceMatch","2017/2018",0,14,11,5,3
72,6,"HC ROBE Zubrí","HK FCC Mesto Lovosice",34,33,2018-05-13,1044,"Tomáš Bubenícek, Tomáš Petruška","Andrej Titkov","Ivo Tovaryš","Roman Jelínek","Pavel Haken","3rdPlaceMatch","2017/2018",0,12,15,6,5
73,7,"HK FCC Mesto Lovosice","HC ROBE Zubrí",33,30,2018-05-19,455,"Jirí Opava, Pavel Válek","Roman Jelínek","Pavel Haken","Andrej Titkov","Ivo Tovaryš","3rdPlaceMatch","2017/2018",0,14,13,2,4
74,8,"HK FCC Mesto Lovosice","HC ROBE Zubrí",20,30,2018-05-20,545,"Václav Horácek, Jirí Novotný","Roman Jelínek","Pavel Haken","Andrej Titkov","Ivo Tovaryš","3rdPlaceMatch","2017/2018",0,10,14,0,0
75,9,"HC ROBE Zubrí","HK FCC Mesto Lovosice",35,31,2018-05-23,1328,"Václav Horácek, Jirí Novotný","Andrej Titkov","Ivo Tovaryš","Roman Jelínek","Pavel Haken","3rdPlaceMatch","2017/2018",0,17,13,1,0
76,10,"HBC Ronal Jicín","Dukla Praha",21,27,2018-05-13,390,"Jirí Králícek, Milan Letev","Aleš Babák","Petr Kyncl","Jan Josef","Jirí Kotrc","5thPlaceMatch","2017/2018",0,9,14,4,2
77,11,"Dukla Praha","HBC Ronal Jicín",28,22,2018-05-16,128,"Tomáš Kozler, Martin Zych","Jan Josef","Jirí Kotrc","Aleš Babák","Petr Kyncl","5thPlaceMatch","2017/2018",0,14,10,3,3
78,12,"Pepino SKP Frýdek-Místek","Koprivnice",27,28,2018-05-13,221,"Marek Becicka, Jirí Horák","Jirí Kekrt","Petr Mazur","Lubomír Vermirovský","Igor Fulnek","7thPlaceMatch","2017/2018",0,17,15,1,3
79,13,"Koprivnice","Pepino SKP Frýdek-Místek",34,30,2018-05-19,290,"Premysl Fukala, Radek Mohyla","Lubomír Vermirovský","Igor Fulnek","Jirí Kekrt","Petr Mazur","7thPlaceMatch","2017/2018",0,14,14,2,1
80,14,"HCB Karviná","HK FCC Mesto Lovosice",28,25,2018-04-28,802,"Milan Hájek, Karel Macho","Marek Michalisko","Jan Užek","Roman Jelínek","Pavel Haken","SemifinalsMatch","2017/2018",0,14,12,5,0
81,15,"HC ROBE Zubrí","M.A.T. Plzen",30,31,2018-04-28,1226,"Marek Becicka, Jirí Horák","Andrej Titkov","Ivo Tovaryš","Michal Tonar","Stanislav Raizl","SemifinalsMatch","2017/2018",0,14,15,5,2
82,16,"HCB Karviná","HK FCC Mesto Lovosice",24,18,2018-04-29,894,"Marek Becicka, Jirí Horák","Marek Michalisko","Jan Užek","Roman Jelínek","Pavel Haken","SemifinalsMatch","2017/2018",0,10,11,0,1
83,17,"HC ROBE Zubrí","M.A.T. Plzen",26,24,2018-04-29,1289,"Michal Hanák, Luboš Pavlícek","Andrej Titkov","Ivo Tovaryš","Michal Tonar","Stanislav Raizl","SemifinalsMatch","2017/2018",0,12,14,3,2
84,18,"M.A.T. Plzen","HC ROBE Zubrí",24,22,2018-05-05,580,"Pavel Blanar, Michael Haramul","Michal Tonar","Stanislav Raizl","Andrej Titkov","Ivo Tovaryš","SemifinalsMatch","2017/2018",0,10,9,3,0
85,19,"HK FCC Mesto Lovosice","HCB Karviná",33,38,2018-05-05,472,"Václav Horácek, Jirí Novotný","Roman Jelínek","Pavel Haken","Marek Michalisko","Jan Užek","SemifinalsMatch","2017/2018",0,16,19,2,3
86,20,"M.A.T. Plzen","HC ROBE Zubrí",28,25,2018-05-06,620,"Václav Horácek, Jirí Novotný","Michal Tonar","Stanislav Raizl","Andrej Titkov","Ivo Tovaryš","SemifinalsMatch","2017/2018",0,17,13,1,3
87,21,"HBC Ronal Jicín","Koprivnice",31,24,2018-04-28,290,"Jirí Králícek, Milan Letev","Aleš Babák","Petr Kyncl","Lubomír Vermirovský","Igor Fulnek","5till8placeMatch","2017/2018",0,15,10,3,3
88,22,"Pepino SKP Frýdek-Místek","Dukla Praha",27,31,2018-04-29,316,"Mojmír Valášek, Jaroslav Vychodil","Jirí Kekrt","Petr Mazur","Jan Josef","Jirí Kotrc","5till8placeMatch","2017/2018",0,12,16,6,1
89,23,"Koprivnice","HBC Ronal Jicín",28,29,2018-05-01,300,"Marek Becicka, Jirí Horák","Lubomír Vermirovský","Igor Fulnek","Aleš Babák","Petr Mašát","5till8placeMatch","2017/2018",0,14,10,4,1
90,24,"Dukla Praha","Pepino SKP Frýdek-Místek",27,30,2018-05-05,62,"Milan Hájek, Karel Macho","Jan Josef","Jirí Kotrc","Jirí Kekrt","Petr Mazur","5till8placeMatch","2017/2018",0,13,15,1,3
91,25,"M.A.T. Plzen","Dukla Praha",22,21,2018-04-14,510,"Václav Horácek, Jirí Novotný","Michal Tonar","Stanislav Raizl","Jan Josef","Jirí Kotrc","QuarterfinalsMatch","2017/2018",0,11,11,1,1
92,26,"HK FCC Mesto Lovosice","Koprivnice",31,28,2018-04-14,818,"Pavel Blanar, Michael Haramul","Roman Jelínek","Pavel Haken","Lubomír Vermirovský","Igor Fulnek","QuarterfinalsMatch","2017/2018",0,12,9,2,0
93,27,"HC ROBE Zubrí","Pepino SKP Frýdek-Místek",28,23,2018-04-14,983,"Marek Becicka, Jirí Horák","Andrej Titkov","Ivo Tovaryš","Jirí Kekrt","Petr Mazur","QuarterfinalsMatch","2017/2018",0,15,10,7,6
94,28,"HCB Karviná","HBC Ronal Jicín",29,19,2018-04-14,790,"Lukáš Frieser, Radoslav Kavulic","Marek Michalisko","Jan Užek","Aleš Babák","Petr Kyncl","QuarterfinalsMatch","2017/2018",0,13,11,1,0
95,29,"HCB Karviná","HBC Ronal Jicín",28,26,2018-04-15,710,"Dalibor Pavlát, Ludek Tocík","Marek Michalisko","Jan Užek","Aleš Babák","Petr Kyncl","QuarterfinalsMatch","2017/2018",0,12,11,2,3
96,30,"M.A.T. Plzen","Dukla Praha",24,23,2018-04-15,530,"Premysl Fukala, Radek Mohyla","Michal Tonar","Stanislav Raizl","Jan Josef","Jirí Kotrc","QuarterfinalsMatch","2017/2018",0,14,14,4,1
97,31,"HK FCC Mesto Lovosice","Koprivnice",30,25,2018-04-15,721,"Mojmír Valášek, Jaroslav Vychodil","Roman Jelínek","Pavel Haken","Lubomír Vermirovský","Igor Fulnek","QuarterfinalsMatch","2017/2018",0,16,14,2,4
98,32,"HC ROBE Zubrí","Pepino SKP Frýdek-Místek",30,25,2018-04-15,1034,"Michal Hanák, Luboš Pavlícek","Andrej Titkov","Ivo Tovaryš","Jirí Kekrt","Petr Mazur","QuarterfinalsMatch","2017/2018",0,12,14,2,2
99,33,"Dukla Praha","M.A.T. Plzen",24,25,2018-04-21,260,"Pavel Blanar, Michael Haramul","Jan Josef","Jirí Kotrc","Michal Tonar","Stanislav Raizl","QuarterfinalsMatch","2017/2018",0,10,9,6,3
100,34,"Pepino SKP Frýdek-Místek","HC ROBE Zubrí",24,25,2018-04-21,429,"Tomáš Bubenícek, Tomáš Petruška","Jirí Kekrt","Petr Mazur","Andrej Titkov","Ivo Tovaryš","QuarterfinalsMatch","2017/2018",0,10,15,3,3
101,35,"Koprivnice","HK FCC Mesto Lovosice",36,27,2018-04-21,650,"Václav Horácek, Jirí Novotný","Lubomír Vermirovský","Igor Fulnek","Roman Jelínek","Pavel Haken","QuarterfinalsMatch","2017/2018",0,19,11,3,0
102,36,"HBC Ronal Jicín","HCB Karviná",25,26,2018-04-21,405,"Premysl Fukala, Radek Mohyla","Aleš Babák","Petr Kyncl","Marek Michalisko","Jan Užek","QuarterfinalsMatch","2017/2018",0,12,15,3,5
103,37,"Koprivnice","HK FCC Mesto Lovosice",30,33,2018-04-22,680,"Dalibor Pavlát, Ludek Tocík","Lubomír Vermirovský","Igor Fulnek","Roman Jelínek","Pavel Haken","QuarterfinalsMatch","2017/2018",0,17,18,6,1
104,38,"Cement Hranice","SKKP Handball Brno",32,32,2018-05-09,70,"Tomáš Bubenícek, Tomáš Petruška","Martin Marek","Martin Potiška","Ivan Minarík","Vít Kucera","9till12placeMatch","2017/2018",0,15,18,1,1
105,39,"HBC Strakonice 1921","Sokol Nové Veselí",26,31,2018-05-19,320,"Karel Macho, Michal Nezbeda","Roman Marienka","Jaroslav Houska","Pavel Hladík","Stanislav Krcál","9till12placeMatch","2017/2018",0,14,13,3,2
